tweet_id,retweet_count,favorite_count
892420643555336193,6970,33696
892177421306343426,5272,29223
891815181378084864,3464,21978
891689557279858688,7191,36792
891327558926688256,7717,35181
891087950875897856,2586,17749
890971913173991426,1647,10331
890729181411237888,15680,56672
890609185150312448,3604,24426
890240255349198849,6068,27848
890006608113172480,6111,26948
889880896479866881,4141,24488
889665388333682689,8302,41878
889638837579907072,3700,23578
889531135344209921,1874,13313
889278841981685760,4418,22026
888917238123831296,3742,25533
888804989199671297,3513,22392
888554962724278272,2863,17252
888078434458587136,2885,19101
887705289381826560,4516,26530
887517139158093824,9810,40586
887473957103951883,14952,59981
887343217045368832,8775,29489
887101392804085760,4969,26897
886983233522544640,6287,30239
886736880519319552,2615,10455
886680336477933568,3720,19655
886366144734445568,2613,18489
886267009285017600,4,105
886258384151887873,5253,24445
886054160059072513,93,0
885984800019947520,5589,28495
885528943205470208,5306,31486
885518971528720385,3097,17931
885311592912609280,15365,0
885167619883638784,3652,19191
884925521741709313,14944,67016
884876753390489601,4639,24298
884562892145688576,3896,21244
884441805382717440,4776,23778
884247878851493888,16822,63021
884162670584377345,2493,17888
883838122936631299,2850,19092
883482846933004288,8221,40046
883360690899218434,3061,19879
883117836046086144,5513,32388
882992080364220416,3229,20920
882762694511734784,4077,24696
882627270321602560,5042,24528
882268110199369728,9584,39043
882045870035918850,4066,25626
881906580714921986,2839,21376
881666595344535552,8912,44387
881633300179243008,8,113
881536004380872706,13351,43284
881268444196462592,4482,20428
880935762899988482,2325,14995
880872448815771648,3191,18655
880465832366813184,5192,24928
880221127280381952,3448,23578
880095782870896641,3634,24234
879862464715927552,2913,19637
879674319642796034,9,282
879492040517615616,2619,20648
879415818425184262,37266,92502
879376492567855104,2634,14809
879130579576475649,5712,0
879050749262655488,3936,19746
879008229531029506,2230,16724
878776093423087618,3419,17086
878604707211726852,5897,26344
878404777348136964,1070,0
878316110768087041,5501,0
878281511006478336,1070,6755
878057613040115712,5712,37019
877736472329191424,15735,69047
877611172832227328,70,0
877556246731214848,3152,19838
877316821321428993,4321,24069
877201837425926144,4602,23794
876838120628539392,2795,18165
876537666061221889,3962,20990
876484053909872640,1989,16510
876120275196170240,3890,24610
875747767867523072,3567,22034
875144289856114688,4132,19368
875097192612077568,5094,24158
875021211251597312,3954,22488
874680097055178752,3906,24520
874434818259525634,12159,0
874296783580663808,3471,22885
874057562936811520,3368,20056
874012996292530176,8551,30025
873580283840344065,3333,21312
873337748698140672,1327,0
873213775632977920,1327,6302
872967104147763200,4544,23979
872820683541237760,3157,13032
872620804844003328,3058,18274
872486979161796608,7683,35987
872122724285648897,6803,30103
871879754684805121,9209,32967
871762521631449091,2958,17818
871515927908634625,2924,17848
871166179821445120,4878,0
871102520638267392,4652,18489
871032628920680449,3213,20092
870804317367881728,5264,29703
870726314365509632,3,105
870656317836468226,2190,10858
870374049280663552,22657,73717
870308999962521604,3534,19420
870063196459192321,7050,32308
869772420881756160,8659,37893
869702957897576449,5363,24966
869596645499047938,2629,14149
869227993411051520,3188,18083
868880397819494401,12200,57751
868639477480148993,1742,0
868622495443632128,4444,23570
868552278524837888,1742,8936
867900495410671616,3554,21533
867774946302451713,6229,30168
867421006826221569,2109,14297
867072653475098625,100,0
867051520902168576,6755,28610
866720684873056260,4118,17804
866686824827068416,2953,17068
866450705531457537,30058,108506
866334964761202691,12159,46427
866094527597207552,7134,0
865718153858494464,4814,22854
865359393868664832,4271,23519
865006731092295680,6634,24959
864873206498414592,7475,28754
864279568663928832,2571,13033
864197398364647424,7555,26550
863907417377173506,3577,18380
863553081350529029,3612,13634
863471782782697472,2084,0
863432100342583297,4543,21224
863427515083354112,80,1956
863079547188785154,949,7877
863062471531167744,2084,7502
862831371563274240,4443,17177
862722525377298433,3075,15289
862457590147678208,4231,18217
862096992088072192,19905,66065
861383897657036800,9228,32188
861288531465048066,3574,15303
861005113778896900,3319,14939
860981674716409858,1850,0
860924035999428608,675,0
860563773140209665,1850,6700
860524505164394496,4582,21198
860276583193509888,3056,16528
860184849394610176,5104,14963
860177593139703809,26613,0
859924526012018688,3573,17573
859851578198683649,3058,13945
859607811541651456,1360,16791
859196978902773760,26175,80303
859074603037188101,11920,30335
858860390427611136,7050,0
858843525470990336,3018,14089
858471635011153920,4241,19419
858107933456039936,2532,14189
857989990357356544,2259,14452
857746408056729600,9312,30709
857393404942143489,1437,5291
857263160327368704,3959,18204
857214891891077121,16,203
857062103051644929,146,0
857029823797047296,3472,17003
856543823941562368,2534,14791
856526610513747968,1651,10791
856288084350160898,15,489
856282028240666624,5564,25166
855862651834028034,21,302
855860136149123072,849,4398
855857698524602368,1853,10833
855851453814013952,16076,41814
855818117272018944,4798,24219
855459453768019968,7282,27029
855245323840757760,5246,0
855138241867124737,36,0
854732716440526848,5327,20626
854482394044301312,6000,26496
854365224396361728,4132,17156
854120357044912130,6571,29150
854010172552949760,2784,14800
853760880890318849,5103,26011
853639147608842240,8836,31453
853299958564483072,3160,14130
852936405516943360,1782,0
852912242202992640,1591,8229
852672615818899456,1904,13612
852553447878664193,3100,14856
852311364735569921,8840,30276
852226086759018497,6071,18304
852189679701164033,1415,10553
851591660324737024,3118,14922
851464819735769094,6290,22220
851224888060895234,5157,18990
850753642995093505,8052,28066
850380195714523136,2325,12048
850333567704068097,301,3184
850145622816686080,3385,15012
850019790995546112,4355,18739
849776966551130114,6797,27857
849668094696017920,4432,0
849412302885593088,2822,14647
849336543269576704,1683,10532
849051919805034497,7603,38921
848690551926992896,3913,23226
848324959059550208,4142,22779
848213670039564288,644,7529
848212111729840128,2711,15003
847978865427394560,2913,0
847971574464610304,394,0
847962785489326080,4559,21692
847842811428974592,1186,5002
847617282490613760,376,6458
847606175596138505,3075,17318
847251039262605312,3907,18926
847157206088847362,5242,18335
847116187444137987,2869,19836
846874817362120707,3541,18583
846514051647705089,10346,41089
846505985330044928,2752,13035
846153765933735936,8146,29030
846139713627017216,9141,28745
846042936437604353,2581,14776
845812042753855489,7842,26958
845677943972139009,4371,23389
845397057150107648,1616,7076
845306882940190720,4845,21569
845098359547420673,6925,0
844979544864018432,2306,12647
844973813909606400,2840,13906
844580511645339650,2806,15265
844223788422217728,1985,12680
843981021012017153,2697,14081
843856843873095681,4160,19915
843604394117681152,2475,15664
843235543001513987,5384,19930
842846295480000512,3310,14191
842765311967449089,1175,6283
842535590457499648,3166,16878
842163532590374912,5246,22682
842115215311396866,2754,13005
841833993020538882,13528,0
841680585030541313,7141,23995
841439858740625411,3305,11702
841320156043304961,5010,18384
841314665196081154,4224,14712
841077006473256960,4878,21295
840761248237133825,1619,0
840728873075638272,14563,0
840698636975636481,2,163
840696689258311684,889,11454
840632337062862849,1619,8411
840370681858686976,4171,15310
840268004936019968,5204,17856
839990271299457024,2063,12507
839549326359670784,7050,25521
839290600511926273,132,0
839239871831150596,5918,25181
838952994649550848,3655,18333
838921590096166913,1852,10398
838916489579200512,31,0
838831947270979586,9998,0
838561493054533637,1229,10228
838476387338051585,4331,20933
838201503651401729,9156,0
838150277551247360,301,1567
838085839343206401,1,133
838083903487373313,2831,16430
837820167694528512,7134,31769
837482249356513284,405,3598
837471256429613056,2058,11967
837110210464448512,2173,15049
836989968035819520,2107,11924
836753516572119041,4254,18089
836677758902222849,2019,11823
836648853927522308,506,0
836397794269200385,25008,0
836380477523124226,2745,13878
836260088725786625,3974,19914
836001077879255040,3878,17859
835685285446955009,7404,0
835574547218894849,3291,16607
835536468978302976,1539,0
835309094223372289,19108,0
835297930240217089,2733,15400
835264098648616962,1539,7214
835246439529840640,63,1986
835172783151792128,5284,24519
835152434251116546,2755,20903
834931633769889797,1486,10080
834786237630337024,5102,20180
834574053763584002,2304,12785
834477809192075265,9742,0
834458053273591808,1543,9017
